id,category,question,option_a,option_b,option_c,option_d,correct_letter,correct_answer,explanation_id
25,Grammar_Conditionals,"If consumers ___ more mindful of their choices, industries would adopt greener practices.",were,are,had been,would be,A,were,Second conditional: If + past simple ('were') untuk situasi hipotetis.
26,Reading,"PASSAGE: Recent research on workplace efficiency shows that employees perform better in environments with natural lighting. Studies indicate that sunlight exposure contributes to improved focus, mood stability, and long-term productivity. QUESTION: According to the passage, natural lighting primarily ___.",improves focus and mood,reduces company expenses,eliminates stress entirely,causes distractions,A,improves focus and mood,"Passage menekankan manfaat fokus, stabilitas mood, dan produktivitas."
27,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
28,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
29,Reading,"PASSAGE: Recent research on workplace efficiency shows that employees perform better in environments with natural lighting. Studies indicate that sunlight exposure contributes to improved focus, mood stability, and long-term productivity. QUESTION: According to the passage, natural lighting primarily ___.",improves focus and mood,reduces company expenses,eliminates stress entirely,causes distractions,A,improves focus and mood,"Passage menekankan manfaat fokus, stabilitas mood, dan produktivitas."
30,Reading,PASSAGE: Studies on sleep patterns reveal that adults require at least seven hours of sleep to maintain optimal cognitive function. Chronic sleep deprivation has been linked to reduced productivity and weakened emotional regulation. QUESTION: The passage suggests that insufficient sleep primarily affects ___.,productivity and emotional stability,physical strength only,dietary preferences,social skills exclusively,A,productivity and emotional stability,Dijelaskan bahwa kurang tidur menurunkan produktivitas dan regulasi emosi.
31,Grammar_Tense,"By the time the conference started, the participants ___ all the required documents.",had submitted,submitted,have submitted,are submitting,A,had submitted,Aksi selesai sebelum peristiwa lampau lain → gunakan past perfect 'had submitted'.
32,Grammar_Passive,The new guidelines ___ published next month.,will be,are being,were being,has been,A,will be,Future passive: 'will be published'.
33,Vocabulary,"In the context of academic writing, the word 'mitigate' most nearly means ___.",reduce,predict,eliminate,worsen,A,reduce,'Mitigate' berarti mengurangi dampak atau keparahan sesuatu.
34,Grammar_Conditionals,"Had the team ___ more time, they would have expanded the experiment.",had,have,having,has,A,had,Bentuk inversi third conditional: 'Had' + subject + past participle ('had').
35,Grammar_Conditionals,"Had the team ___ more time, they would have expanded the experiment.",had,have,having,has,A,had,Bentuk inversi third conditional: 'Had' + subject + past participle ('had').
36,Grammar_Conditionals,"If the policy ___ earlier, the environmental impact could have been reduced.",had been implemented,was implemented,is implementing,implements,A,had been implemented,Third conditional: If + had been + past participle.
37,Grammar_Passive,The new guidelines ___ published next month.,will be,are being,were being,has been,A,will be,Future passive: 'will be published'.
38,Grammar_Conditionals,Students ___ wear their ID cards at all times while on campus.,must,might,could,would,A,must,Aturan wajib → gunakan modal 'must'.
39,Grammar_Tense,"As the population ___ rapidly, cities must adopt more sustainable planning strategies.",grows,grow,is grow,has grow,A,grows,Subjek tunggal 'population' → simple present 'grows'.
40,Grammar_Passive,The new guidelines ___ published next month.,will be,are being,were being,has been,A,will be,Future passive: 'will be published'.
41,Grammar_Passive,"Because the research findings ___ inconsistent, the team decided to re-evaluate the methodology.",were,was,has been,is being,A,were,'Findings' jamak → gunakan 'were'.
42,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
43,Vocabulary,"The professor described the outcome as 'inevitable', which most closely means ___.",unavoidable,unnecessary,unexpected,unrealistic,A,unavoidable,'Inevitable' berarti tidak dapat dihindari.
44,Reading,PASSAGE: Studies on sleep patterns reveal that adults require at least seven hours of sleep to maintain optimal cognitive function. Chronic sleep deprivation has been linked to reduced productivity and weakened emotional regulation. QUESTION: The passage suggests that insufficient sleep primarily affects ___.,productivity and emotional stability,physical strength only,dietary preferences,social skills exclusively,A,productivity and emotional stability,Dijelaskan bahwa kurang tidur menurunkan produktivitas dan regulasi emosi.
45,Grammar_Tense,The long-term findings clearly ___ that consistent reading habits improve cognitive development.,indicate,indicates,is indicating,has indicated,A,indicate,"Subjek 'findings' jamak, sehingga kata kerja jamak 'indicate'."
46,Conversation,A: Are you coming to the workshop later? B: I ___ if I finish my report on time.,might come,am coming,come,came,A,might come,'Might come' menunjukkan kemungkinan tergantung kondisi.
47,Grammar_Conditionals,Students ___ wear their ID cards at all times while on campus.,must,might,could,would,A,must,Aturan wajib → gunakan modal 'must'.
48,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
49,Grammar_Conditionals,"If the sensors ___ calibrated properly, the measurements would have been more accurate.",had been,were,are,be,A,had been,Third conditional: If + had been + past participle.
50,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
51,Grammar_Conditionals,"Had the team ___ more time, they would have expanded the experiment.",had,have,having,has,A,had,Bentuk inversi third conditional: 'Had' + subject + past participle ('had').
52,Grammar_Tense,The long-term findings clearly ___ that consistent reading habits improve cognitive development.,indicate,indicates,is indicating,has indicated,A,indicate,"Subjek 'findings' jamak, sehingga kata kerja jamak 'indicate'."
53,Grammar_Conditionals,"If the sensors ___ calibrated properly, the measurements would have been more accurate.",had been,were,are,be,A,had been,Third conditional: If + had been + past participle.
54,Reading,"PASSAGE: Recent research on workplace efficiency shows that employees perform better in environments with natural lighting. Studies indicate that sunlight exposure contributes to improved focus, mood stability, and long-term productivity. QUESTION: According to the passage, natural lighting primarily ___.",improves focus and mood,reduces company expenses,eliminates stress entirely,causes distractions,A,improves focus and mood,"Passage menekankan manfaat fokus, stabilitas mood, dan produktivitas."
55,Reading,"PASSAGE: Over the last decade, remote work has shifted from a rare arrangement to a common practice. Researchers suggest that flexible work setups can improve productivity and provide better work-life balance for many professionals. QUESTION: Remote work is considered beneficial mainly because it ___.",enhances productivity and balance,guarantees promotion,removes all workplace stress,eliminates the need for communication,A,enhances productivity and balance,Passage menyebutkan peningkatan produktivitas dan keseimbangan hidup.
56,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
57,Grammar_Passive,"Because the research findings ___ inconsistent, the team decided to re-evaluate the methodology.",were,was,has been,is being,A,were,'Findings' jamak → gunakan 'were'.
58,Grammar_Conditionals,Students ___ wear their ID cards at all times while on campus.,must,might,could,would,A,must,Aturan wajib → gunakan modal 'must'.
59,Grammar_Tense,"By the time the conference started, the participants ___ all the required documents.",had submitted,submitted,have submitted,are submitting,A,had submitted,Aksi selesai sebelum peristiwa lampau lain → gunakan past perfect 'had submitted'.
60,Grammar_Conditionals,"If consumers ___ more mindful of their choices, industries would adopt greener practices.",were,are,had been,would be,A,were,Second conditional: If + past simple ('were') untuk situasi hipotetis.
61,Grammar_Conditionals,"If the sensors ___ calibrated properly, the measurements would have been more accurate.",had been,were,are,be,A,had been,Third conditional: If + had been + past participle.
62,Grammar_Tense,The long-term findings clearly ___ that consistent reading habits improve cognitive development.,indicate,indicates,is indicating,has indicated,A,indicate,"Subjek 'findings' jamak, sehingga kata kerja jamak 'indicate'."
63,Grammar_Conditionals,Students ___ wear their ID cards at all times while on campus.,must,might,could,would,A,must,Aturan wajib → gunakan modal 'must'.
64,Grammar_Tense,"As the population ___ rapidly, cities must adopt more sustainable planning strategies.",grows,grow,is grow,has grow,A,grows,Subjek tunggal 'population' → simple present 'grows'.
65,Conversation,"A: Hey, are you joining the study group later? B: I’m not sure. I ___ finish this assignment first.",need to,shouldn't,might not,am,A,need to,'Need to' paling tepat untuk menunjukkan kewajiban menyelesaikan tugas.
66,Reading,"PASSAGE: Over the last decade, remote work has shifted from a rare arrangement to a common practice. Researchers suggest that flexible work setups can improve productivity and provide better work-life balance for many professionals. QUESTION: Remote work is considered beneficial mainly because it ___.",enhances productivity and balance,guarantees promotion,removes all workplace stress,eliminates the need for communication,A,enhances productivity and balance,Passage menyebutkan peningkatan produktivitas dan keseimbangan hidup.
67,Grammar_Tense,The long-term findings clearly ___ that consistent reading habits improve cognitive development.,indicate,indicates,is indicating,has indicated,A,indicate,"Subjek 'findings' jamak, sehingga kata kerja jamak 'indicate'."
68,Vocabulary,"In the context of academic writing, the word 'mitigate' most nearly means ___.",reduce,predict,eliminate,worsen,A,reduce,'Mitigate' berarti mengurangi dampak atau keparahan sesuatu.
69,Conversation,"A: Did you hear about Sarah? B: No, what happened? A: She ___ her phone again.",lost,lose,is losing,has lose,A,lost,Mengacu pada kejadian lampau → gunakan simple past 'lost'.
70,Grammar_Passive,"Because the research findings ___ inconsistent, the team decided to re-evaluate the methodology.",were,was,has been,is being,A,were,'Findings' jamak → gunakan 'were'.
71,Reading,PASSAGE: Marine biologists have raised concerns about declining coral populations. They argue that rising sea temperatures and pollution are the major contributors to widespread coral bleaching. QUESTION: The passage suggests that coral bleaching is mainly caused by ___.,pollution and higher temperatures,tourist activity,lack of marine plants,overfishing alone,A,pollution and higher temperatures,Disebutkan dua faktor utama: polusi dan kenaikan suhu laut.
72,Conversation,"A: Did you hear about Sarah? B: No, what happened? A: She ___ her phone again.",lost,lose,is losing,has lose,A,lost,Mengacu pada kejadian lampau → gunakan simple past 'lost'.
73,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
74,Grammar_Passive,"Because the research findings ___ inconsistent, the team decided to re-evaluate the methodology.",were,was,has been,is being,A,were,'Findings' jamak → gunakan 'were'.
75,Grammar_Tense,"As the population ___ rapidly, cities must adopt more sustainable planning strategies.",grows,grow,is grow,has grow,A,grows,Subjek tunggal 'population' → simple present 'grows'.
76,Reading,"PASSAGE: Over the last decade, remote work has shifted from a rare arrangement to a common practice. Researchers suggest that flexible work setups can improve productivity and provide better work-life balance for many professionals. QUESTION: Remote work is considered beneficial mainly because it ___.",enhances productivity and balance,guarantees promotion,removes all workplace stress,eliminates the need for communication,A,enhances productivity and balance,Passage menyebutkan peningkatan produktivitas dan keseimbangan hidup.
77,Grammar_Conditionals,"Had the team ___ more time, they would have expanded the experiment.",had,have,having,has,A,had,Bentuk inversi third conditional: 'Had' + subject + past participle ('had').
78,Grammar_Passive,The results ___ analyzed by three independent reviewers.,were,was,are,is,A,were,Subjek jamak 'results' → 'were analyzed' (past passive).
79,Conversation,A: I can't find my notes for tomorrow's exam. B: You really ___ organize your files better.,should,might,mustn't,are,A,should,'Should' dipakai untuk memberi saran yang kuat namun tidak memaksa.
80,Reading,"PASSAGE: Over the last decade, remote work has shifted from a rare arrangement to a common practice. Researchers suggest that flexible work setups can improve productivity and provide better work-life balance for many professionals. QUESTION: Remote work is considered beneficial mainly because it ___.",enhances productivity and balance,guarantees promotion,removes all workplace stress,eliminates the need for communication,A,enhances productivity and balance,Passage menyebutkan peningkatan produktivitas dan keseimbangan hidup.
81,Vocabulary,"In the context of academic writing, the word 'mitigate' most nearly means ___.",reduce,predict,eliminate,worsen,A,reduce,'Mitigate' berarti mengurangi dampak atau keparahan sesuatu.
82,Grammar_Tense,"As the population ___ rapidly, cities must adopt more sustainable planning strategies.",grows,grow,is grow,has grow,A,grows,Subjek tunggal 'population' → simple present 'grows'.
83,Grammar_Passive,"The museum, along with several cultural sites, ___ expected to reopen next year.",is,are,have,were,A,is,Subjek utama 'museum' tunggal → 'is expected'.
84,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
85,Grammar_Conditionals,"If consumers ___ more mindful of their choices, industries would adopt greener practices.",were,are,had been,would be,A,were,Second conditional: If + past simple ('were') untuk situasi hipotetis.
86,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
87,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
88,Vocabulary,"In the context of academic writing, the word 'mitigate' most nearly means ___.",reduce,predict,eliminate,worsen,A,reduce,'Mitigate' berarti mengurangi dampak atau keparahan sesuatu.
89,Vocabulary,The term 'feasible' in the report is closest in meaning to ___.,possible,dangerous,limited,unusual,A,possible,'Feasible' berarti dapat dilakukan atau mungkin terlaksana.
90,Conversation,A: I can't find my notes for tomorrow's exam. B: You really ___ organize your files better.,should,might,mustn't,are,A,should,'Should' dipakai untuk memberi saran yang kuat namun tidak memaksa.
91,Vocabulary,"In the context of academic writing, the word 'mitigate' most nearly means ___.",reduce,predict,eliminate,worsen,A,reduce,'Mitigate' berarti mengurangi dampak atau keparahan sesuatu.
92,Grammar_Tense,The long-term findings clearly ___ that consistent reading habits improve cognitive development.,indicate,indicates,is indicating,has indicated,A,indicate,"Subjek 'findings' jamak, sehingga kata kerja jamak 'indicate'."
93,Grammar_Tense,"As the population ___ rapidly, cities must adopt more sustainable planning strategies.",grows,grow,is grow,has grow,A,grows,Subjek tunggal 'population' → simple present 'grows'.
94,Grammar_Tense,"As the population ___ rapidly, cities must adopt more sustainable planning strategies.",grows,grow,is grow,has grow,A,grows,Subjek tunggal 'population' → simple present 'grows'.
95,Grammar_Conditionals,Students ___ wear their ID cards at all times while on campus.,must,might,could,would,A,must,Aturan wajib → gunakan modal 'must'.
96,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
97,Grammar_Conditionals,"If consumers ___ more mindful of their choices, industries would adopt greener practices.",were,are,had been,would be,A,were,Second conditional: If + past simple ('were') untuk situasi hipotetis.
98,Grammar_Conditionals,"If the policy ___ earlier, the environmental impact could have been reduced.",had been implemented,was implemented,is implementing,implements,A,had been implemented,Third conditional: If + had been + past participle.
99,Grammar_Conditionals,"If consumers ___ more mindful of their choices, industries would adopt greener practices.",were,are,had been,would be,A,were,Second conditional: If + past simple ('were') untuk situasi hipotetis.
100,Reading,PASSAGE: Marine biologists have raised concerns about declining coral populations. They argue that rising sea temperatures and pollution are the major contributors to widespread coral bleaching. QUESTION: The passage suggests that coral bleaching is mainly caused by ___.,pollution and higher temperatures,tourist activity,lack of marine plants,overfishing alone,A,pollution and higher temperatures,Disebutkan dua faktor utama: polusi dan kenaikan suhu laut.
101,Grammar_Conditionals,"If the sensors ___ calibrated properly, the measurements would have been more accurate.",had been,were,are,be,A,had been,Third conditional: If + had been + past participle.
102,Reading,PASSAGE: Marine biologists have raised concerns about declining coral populations. They argue that rising sea temperatures and pollution are the major contributors to widespread coral bleaching. QUESTION: The passage suggests that coral bleaching is mainly caused by ___.,pollution and higher temperatures,tourist activity,lack of marine plants,overfishing alone,A,pollution and higher temperatures,Disebutkan dua faktor utama: polusi dan kenaikan suhu laut.
103,Grammar_Tense,The results of the five-year study ___ that early intervention is essential.,suggest,suggests,is suggesting,has suggested,A,suggest,'Results' jamak → gunakan 'suggest'.
104,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
105,Grammar_Conditionals,"If the policy ___ earlier, the environmental impact could have been reduced.",had been implemented,was implemented,is implementing,implements,A,had been implemented,Third conditional: If + had been + past participle.
106,Conversation,"A: Did you hear about Sarah? B: No, what happened? A: She ___ her phone again.",lost,lose,is losing,has lose,A,lost,Mengacu pada kejadian lampau → gunakan simple past 'lost'.
107,Grammar_Conditionals,"If the sensors ___ calibrated properly, the measurements would have been more accurate.",had been,were,are,be,A,had been,Third conditional: If + had been + past participle.
108,Grammar_Conditionals,Students ___ wear their ID cards at all times while on campus.,must,might,could,would,A,must,Aturan wajib → gunakan modal 'must'.
109,Conversation,"A: Hey, are you joining the study group later? B: I’m not sure. I ___ finish this assignment first.",need to,shouldn't,might not,am,A,need to,'Need to' paling tepat untuk menunjukkan kewajiban menyelesaikan tugas.
110,Vocabulary,"In the sentence, the word 'alleviate' most nearly means ___.",ease,challenge,postpone,measure,A,ease,'Alleviate' berarti meringankan atau mengurangi beban/masalah.
111,Vocabulary,The term 'feasible' in the report is closest in meaning to ___.,possible,dangerous,limited,unusual,A,possible,'Feasible' berarti dapat dilakukan atau mungkin terlaksana.
112,Grammar_Tense,"By the time the conference started, the participants ___ all the required documents.",had submitted,submitted,have submitted,are submitting,A,had submitted,Aksi selesai sebelum peristiwa lampau lain → gunakan past perfect 'had submitted'.
113,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
114,Conversation,A: Are you coming to the workshop later? B: I ___ if I finish my report on time.,might come,am coming,come,came,A,might come,'Might come' menunjukkan kemungkinan tergantung kondisi.
115,Reading,"PASSAGE: Over the last decade, remote work has shifted from a rare arrangement to a common practice. Researchers suggest that flexible work setups can improve productivity and provide better work-life balance for many professionals. QUESTION: Remote work is considered beneficial mainly because it ___.",enhances productivity and balance,guarantees promotion,removes all workplace stress,eliminates the need for communication,A,enhances productivity and balance,Passage menyebutkan peningkatan produktivitas dan keseimbangan hidup.
116,Grammar_Tense,"By the time the conference started, the participants ___ all the required documents.",had submitted,submitted,have submitted,are submitting,A,had submitted,Aksi selesai sebelum peristiwa lampau lain → gunakan past perfect 'had submitted'.
117,Grammar_Conditionals,"If consumers ___ more mindful of their choices, industries would adopt greener practices.",were,are,had been,would be,A,were,Second conditional: If + past simple ('were') untuk situasi hipotetis.
118,Grammar_Tense,"By the time the conference started, the participants ___ all the required documents.",had submitted,submitted,have submitted,are submitting,A,had submitted,Aksi selesai sebelum peristiwa lampau lain → gunakan past perfect 'had submitted'.
119,Grammar_Tense,"As the population ___ rapidly, cities must adopt more sustainable planning strategies.",grows,grow,is grow,has grow,A,grows,Subjek tunggal 'population' → simple present 'grows'.
120,Grammar_Passive,"The museum, along with several cultural sites, ___ expected to reopen next year.",is,are,have,were,A,is,Subjek utama 'museum' tunggal → 'is expected'.
121,Grammar_Passive,"The museum, along with several cultural sites, ___ expected to reopen next year.",is,are,have,were,A,is,Subjek utama 'museum' tunggal → 'is expected'.
122,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
123,Grammar_Conditionals,"If the sensors ___ calibrated properly, the measurements would have been more accurate.",had been,were,are,be,A,had been,Third conditional: If + had been + past participle.
124,Grammar_Passive,The results ___ analyzed by three independent reviewers.,were,was,are,is,A,were,Subjek jamak 'results' → 'were analyzed' (past passive).
125,Conversation,"A: Did you hear about Sarah? B: No, what happened? A: She ___ her phone again.",lost,lose,is losing,has lose,A,lost,Mengacu pada kejadian lampau → gunakan simple past 'lost'.
126,Grammar_Tense,"By the time the conference started, the participants ___ all the required documents.",had submitted,submitted,have submitted,are submitting,A,had submitted,Aksi selesai sebelum peristiwa lampau lain → gunakan past perfect 'had submitted'.
127,Grammar_Tense,The long-term findings clearly ___ that consistent reading habits improve cognitive development.,indicate,indicates,is indicating,has indicated,A,indicate,"Subjek 'findings' jamak, sehingga kata kerja jamak 'indicate'."
128,Vocabulary,The term 'feasible' in the report is closest in meaning to ___.,possible,dangerous,limited,unusual,A,possible,'Feasible' berarti dapat dilakukan atau mungkin terlaksana.
129,Grammar_Tense,"By the time the conference started, the participants ___ all the required documents.",had submitted,submitted,have submitted,are submitting,A,had submitted,Aksi selesai sebelum peristiwa lampau lain → gunakan past perfect 'had submitted'.
130,Grammar_Tense,"By the time the conference started, the participants ___ all the required documents.",had submitted,submitted,have submitted,are submitting,A,had submitted,Aksi selesai sebelum peristiwa lampau lain → gunakan past perfect 'had submitted'.
131,Reading,"PASSAGE: Recent research on workplace efficiency shows that employees perform better in environments with natural lighting. Studies indicate that sunlight exposure contributes to improved focus, mood stability, and long-term productivity. QUESTION: According to the passage, natural lighting primarily ___.",improves focus and mood,reduces company expenses,eliminates stress entirely,causes distractions,A,improves focus and mood,"Passage menekankan manfaat fokus, stabilitas mood, dan produktivitas."
132,Vocabulary,The term 'feasible' in the report is closest in meaning to ___.,possible,dangerous,limited,unusual,A,possible,'Feasible' berarti dapat dilakukan atau mungkin terlaksana.
133,Grammar_Passive,"The museum, along with several cultural sites, ___ expected to reopen next year.",is,are,have,were,A,is,Subjek utama 'museum' tunggal → 'is expected'.
134,Grammar_Conditionals,"Had the team ___ more time, they would have expanded the experiment.",had,have,having,has,A,had,Bentuk inversi third conditional: 'Had' + subject + past participle ('had').
135,Grammar_Conditionals,"If the sensors ___ calibrated properly, the measurements would have been more accurate.",had been,were,are,be,A,had been,Third conditional: If + had been + past participle.
136,Grammar_Conditionals,Students ___ wear their ID cards at all times while on campus.,must,might,could,would,A,must,Aturan wajib → gunakan modal 'must'.
137,Grammar_Tense,The long-term findings clearly ___ that consistent reading habits improve cognitive development.,indicate,indicates,is indicating,has indicated,A,indicate,"Subjek 'findings' jamak, sehingga kata kerja jamak 'indicate'."
138,Grammar_Passive,The results ___ analyzed by three independent reviewers.,were,was,are,is,A,were,Subjek jamak 'results' → 'were analyzed' (past passive).
139,Grammar_Tense,"While the committee ___ the revised proposal, several members raised methodological concerns.",was reviewing,reviewed,has reviewed,reviews,A,was reviewing,Sedang terjadi di masa lampau ketika aksi lain terjadi → gunakan past continuous 'was reviewing'.
140,Grammar_Tense,"By the time the conference started, the participants ___ all the required documents.",had submitted,submitted,have submitted,are submitting,A,had submitted,Aksi selesai sebelum peristiwa lampau lain → gunakan past perfect 'had submitted'.
141,Reading,"PASSAGE: Over the last decade, remote work has shifted from a rare arrangement to a common practice. Researchers suggest that flexible work setups can improve productivity and provide better work-life balance for many professionals. QUESTION: Remote work is considered beneficial mainly because it ___.",enhances productivity and balance,guarantees promotion,removes all workplace stress,eliminates the need for communication,A,enhances productivity and balance,Passage menyebutkan peningkatan produktivitas dan keseimbangan hidup.
142,Grammar_Conditionals,Students ___ wear their ID cards at all times while on campus.,must,might,could,would,A,must,Aturan wajib → gunakan modal 'must'.
143,Grammar_Tense,"As the population ___ rapidly, cities must adopt more sustainable planning strategies.",grows,grow,is grow,has grow,A,grows,Subjek tunggal 'population' → simple present 'grows'.
144,Grammar_Passive,The results ___ analyzed by three independent reviewers.,were,was,are,is,A,were,Subjek jamak 'results' → 'were analyzed' (past passive).
145,Grammar_Passive,The new guidelines ___ published next month.,will be,are being,were being,has been,A,will be,Future passive: 'will be published'.
146,Grammar_Passive,"Because the research findings ___ inconsistent, the team decided to re-evaluate the methodology.",were,was,has been,is being,A,were,'Findings' jamak → gunakan 'were'.
147,Grammar_Tense,"By the time the conference started, the participants ___ all the required documents.",had submitted,submitted,have submitted,are submitting,A,had submitted,Aksi selesai sebelum peristiwa lampau lain → gunakan past perfect 'had submitted'.
148,Grammar_Passive,The new guidelines ___ published next month.,will be,are being,were being,has been,A,will be,Future passive: 'will be published'.
